Open,High,Low,Close,Volume,Year,Month,Day
42120,42330,41700,41830,610000,2016,12,30
43000,43220,42540,42660,448400,2016,12,29
43940,43970,43270,43270,339900,2016,12,28
43140,43700,43140,43620,400100,2016,12,27
43310,43660,43090,43340,358200,2016,12,26
43660,43840,43190,43480,381600,2016,12,22
43900,44370,43610,44000,658900,2016,12,21
42910,43630,42860,43620,499400,2016,12,20
42790,43150,42740,43130,358700,2016,12,19
43350,43550,42810,43130,542000,2016,12,16
43440,43880,42550,43000,627400,2016,12,15
43300,43440,42590,43090,548800,2016,12,14
43130,43300,42630,43210,434500,2016,12,13
43950,44000,42880,43130,775300,2016,12,12
41700,42970,41150,42590,1975600,2016,12,9
41480,41560,40830,41100,639900,2016,12,8
40500,41150,40420,40870,536800,2016,12,7
40350,40500,39860,40150,618100,2016,12,6
40060,40350,39690,39760,620500,2016,12,5
40300,40660,39960,40660,573000,2016,12,2
40500,41190,40320,40460,850700,2016,12,1
40300,40340,39570,39570,692200,2016,11,30
40420,40580,40100,40200,894400,2016,11,29
41260,41440,40830,41260,384800,2016,11,28
41820,42020,41220,41370,665500,2016,11,25
41300,41760,41170,41730,692900,2016,11,24
39880,40360,39660,40360,500200,2016,11,22
40210,40270,39510,39970,609600,2016,11,21
39980,40620,39900,40190,886500,2016,11,18
39200,39710,39050,39280,573700,2016,11,17
39130,39750,39110,39400,764300,2016,11,16
38600,38980,38470,38570,555600,2016,11,15
37730,38690,37680,38580,784100,2016,11,14
37590,37940,37190,37600,1329900,2016,11,11
36480,37110,36000,36890,1309900,2016,11,10
36920,37220,33520,33680,1570400,2016,11,9
36870,37050,36410,36550,417500,2016,11,8
36020,36710,36000,36640,648000,2016,11,7
35460,35930,35360,35510,499100,2016,11,4
35450,35940,35420,35540,396700,2016,11,2
35440,36050,35310,35890,366200,2016,11,1
35690,36030,35450,35460,344400,2016,10,31
36020,36450,35980,35980,454200,2016,10,28
36250,36370,35600,35770,426500,2016,10,27
36840,36850,36380,36450,353400,2016,10,26
36500,36940,36450,36850,400800,2016,10,25
36650,36660,36000,36300,365000,2016,10,24
36350,36850,36180,36300,579900,2016,10,21
34910,36330,34910,36330,751800,2016,10,20
34900,35050,34600,35020,356500,2016,10,19
34490,34900,34210,34900,477400,2016,10,18
34710,35030,34180,34210,657500,2016,10,17
33200,35090,33200,34800,1671000,2016,10,14
34000,34290,33010,33150,556000,2016,10,13
33550,34030,33380,33790,464500,2016,10,12
33580,34040,33560,33920,529400,2016,10,11
33600,33900,33400,33500,407300,2016,10,7
34200,34460,34030,34040,454400,2016,10,6
34150,34200,33600,33940,534400,2016,10,5
33300,33950,33150,33490,688900,2016,10,4
32800,32990,32580,32980,421000,2016,10,3
32030,32490,31970,32290,650400,2016,9,30
32620,32650,32140,32480,453600,2016,9,29
32400,32440,31800,32040,558400,2016,9,28
32530,32650,31860,32400,626100,2016,9,27
32780,33350,32640,32710,656700,2016,9,26
32950,33760,32810,33230,692500,2016,9,23
32370,33190,31010,33000,1536200,2016,9,21
33480,33530,32480,32510,1042300,2016,9,20
33990,34400,33600,34360,606600,2016,9,16
34740,34820,33930,34110,663400,2016,9,15
35400,35540,34950,35080,466300,2016,9,14
35880,36140,35560,35750,384100,2016,9,13
35930,36180,35340,35470,482400,2016,9,12
36410,36590,35970,36330,1014200,2016,9,9
36700,36750,36020,36410,475000,2016,9,8
36600,36900,36220,36390,593600,2016,9,7
36990,37310,36820,36860,540100,2016,9,6
36500,37520,36480,37120,780400,2016,9,5
35750,35900,35340,35700,772200,2016,9,2
36400,36490,35680,35940,694200,2016,9,1
36500,36750,36310,36340,443200,2016,8,31
36220,36500,36210,36440,499700,2016,8,30
35910,36480,35670,36450,723500,2016,8,29
35400,35790,34780,35370,1117000,2016,8,26
35400,35890,34660,35460,1371300,2016,8,25
36160,36850,35470,35600,897700,2016,8,24
36680,37050,36480,36580,546500,2016,8,23
37270,37360,36910,36980,354100,2016,8,22
36950,37590,36840,37150,587300,2016,8,19
36880,37620,36450,36560,855000,2016,8,18
36740,37170,36700,36970,524600,2016,8,17
37590,37680,36500,36500,961900,2016,8,16
38140,38230,37580,37630,384700,2016,8,15
37530,38250,37120,38080,899600,2016,8,12
37600,37860,36930,37000,825600,2016,8,10
37700,38250,37180,37500,837900,2016,8,9
37800,37950,37150,37880,952000,2016,8,8
35950,36880,35670,36640,1295200,2016,8,5
35200,35530,34210,35500,1224800,2016,8,4
34340,35080,33900,34540,1288600,2016,8,3
34330,34580,33610,33640,640000,2016,8,2
33300,34900,33110,34670,947300,2016,8,1
32230,34150,32210,33430,827000,2016,7,29
33300,33370,32850,32910,385700,2016,7,28
32880,34240,32830,33630,734500,2016,7,27
33040,33300,32360,32530,574100,2016,7,26
32630,33350,32560,33170,473700,2016,7,25
33160,33240,32530,32640,492500,2016,7,22
33420,34450,33420,33720,737000,2016,7,21
33160,33280,32750,32920,662300,2016,7,20
34500,35000,33120,33700,1391900,2016,7,19
31000,32660,31000,32660,1675600,2016,7,15
27750,28010,27390,27660,570100,2016,7,14
28500,28500,27675,28145,765800,2016,7,13
27750,27995,27510,27800,909100,2016,7,12
26200,26995,26105,26845,757700,2016,7,11
26020,26145,25355,25445,993300,2016,7,8
26185,26665,25910,26030,603200,2016,7,7
26000,26070,25305,25900,995800,2016,7,6
27205,27225,26460,26540,928100,2016,7,5
26800,27920,26760,27705,555400,2016,7,4
27710,27845,27155,27360,485300,2016,7,1
27905,27980,27245,27300,721600,2016,6,30
27955,27980,27480,27595,790700,2016,6,29
27000,27730,26705,27455,693000,2016,6,28
26795,27470,26325,27385,823500,2016,6,27
29525,29925,26120,26295,1569600,2016,6,24
28500,29425,28375,29340,684400,2016,6,23
28465,28550,27765,28230,571500,2016,6,22
28230,28645,27800,28595,471200,2016,6,21
27940,28695,27940,28395,736600,2016,6,20
27535,27900,27435,27550,789100,2016,6,17
28390,28865,27210,27260,895500,2016,6,16
28010,28390,27750,28255,733600,2016,6,15
29060,29190,28055,28330,800300,2016,6,14
29380,29605,29050,29055,737300,2016,6,13
29950,30270,29630,29815,1320400,2016,6,10
30260,30500,29855,29940,505800,2016,6,9
30030,30450,29810,30450,548200,2016,6,8
30050,30190,29710,29995,662200,2016,6,7
29420,30200,29335,30090,704700,2016,6,6
29205,30450,29100,30120,1410200,2016,6,3
28800,28800,28100,28180,726800,2016,6,2
29510,29845,28880,28965,583400,2016,6,1
29195,29995,29155,29885,532200,2016,5,31
29195,29485,28905,29385,476000,2016,5,30
29700,29725,28970,29000,461300,2016,5,27
29240,29745,29135,29400,685900,2016,5,26
28165,28830,28090,28740,762100,2016,5,25
27995,28035,27515,27665,605500,2016,5,24
28520,28610,27615,27965,593200,2016,5,23
28375,28870,27930,28775,487300,2016,5,20
28800,29065,28255,28475,466800,2016,5,19
28510,28860,28135,28585,799200,2016,5,18
28750,28945,28235,28660,650500,2016,5,17
28655,28950,28050,28150,594700,2016,5,16
29380,29380,28490,28500,874500,2016,5,13
28610,29115,28205,29020,452600,2016,5,12
29395,29520,28650,28750,531800,2016,5,11
29065,29095,28160,28895,755400,2016,5,10
28195,28670,28050,28610,535900,2016,5,9
28140,28330,27355,28020,923300,2016,5,6
27685,28260,27560,27945,1017200,2016,5,2
31490,32040,29160,29185,1499200,2016,4,28
30550,31290,30530,30980,1306500,2016,4,27
30880,31250,30150,30540,887400,2016,4,26
32110,32490,31050,31140,936700,2016,4,25
30610,32220,30610,31950,1255200,2016,4,22
30500,31280,30310,30890,1271300,2016,4,21
30310,30420,29180,29425,1070000,2016,4,20
28985,30020,28950,29870,1059500,2016,4,19
28640,28825,28030,28075,964900,2016,4,18
29000,30250,28850,29615,1047300,2016,4,15
29275,29935,29140,29800,1174300,2016,4,14
27500,28825,27140,28695,1606000,2016,4,13
26590,27025,26320,26915,833600,2016,4,12
26620,27090,26375,26815,1159400,2016,4,11
27500,27785,26395,26610,2352200,2016,4,8
31880,31880,30370,30490,777300,2016,4,7
31860,32250,31550,31640,631900,2016,4,6
32970,32990,31890,32020,850800,2016,4,5
33770,34080,33300,33410,654300,2016,4,4
35800,35940,33860,34070,803200,2016,4,1
36850,36950,36020,36020,648000,2016,3,31
37040,37050,36470,36500,417200,2016,3,30
35940,36780,35390,36780,635000,2016,3,29
36690,36760,36070,36150,391200,2016,3,28
36480,36720,36270,36410,405700,2016,3,25
36690,36900,36210,36240,620800,2016,3,24
36000,36860,35900,36760,765600,2016,3,23
35760,35900,35100,35660,455200,2016,3,22
35810,35960,34840,35120,639500,2016,3,18
36280,36810,35630,35850,572700,2016,3,17
36000,36260,35660,35910,437900,2016,3,16
36680,36950,36180,36270,747000,2016,3,15
35400,36390,35400,36390,824300,2016,3,14
33400,34850,33350,34590,1626200,2016,3,11
34200,34230,33840,34030,444900,2016,3,10
33900,34150,33610,33690,652900,2016,3,9
34690,34710,33940,34420,809900,2016,3,8
34810,34810,34400,34490,645500,2016,3,7
34630,34700,34210,34410,537400,2016,3,4
33330,34660,33080,34530,1056000,2016,3,3
32000,33530,31970,33330,1110600,2016,3,2
31390,31620,30910,31310,757700,2016,3,1
31520,31990,31280,31340,658800,2016,2,29
31770,32420,31540,31540,702100,2016,2,26
31190,31420,30760,31230,619000,2016,2,25
31700,31800,31170,31320,580000,2016,2,24
32000,32560,31630,31960,577700,2016,2,23
31130,32240,31130,31760,693500,2016,2,22
31610,31780,31040,31500,751100,2016,2,19
32500,32520,31340,31960,1016000,2016,2,18
32690,32820,30720,31240,1105600,2016,2,17
32710,33530,32210,32810,980300,2016,2,16
33130,33490,32520,33220,1016700,2016,2,15
31870,32770,31060,32390,2255200,2016,2,12
33100,33300,31820,32520,1002100,2016,2,10
33590,34050,32710,32870,1000500,2016,2,9
34030,35330,33710,35070,835400,2016,2,8
34750,35070,34080,34590,957900,2016,2,5
36500,36660,35270,35400,1106300,2016,2,4
37470,37880,36250,36620,1060500,2016,2,3
37370,37570,37030,37240,600100,2016,2,2
38610,38710,37320,37670,884000,2016,2,1
37320,39890,36660,38430,1626100,2016,1,29
37090,37730,36930,37120,767900,2016,1,28
37290,38270,37170,37610,771700,2016,1,27
37000,37120,36750,36990,814700,2016,1,26
37650,38190,36790,37870,974800,2016,1,25
35700,37710,35620,37420,1418900,2016,1,22
35810,36060,34540,34610,1321500,2016,1,21
37470,37480,35380,35650,1254300,2016,1,20
36610,37320,36410,37220,739800,2016,1,19
36370,36980,35730,36730,795800,2016,1,18
38120,38490,36810,37000,786100,2016,1,15
37290,37800,36850,37640,863300,2016,1,14
37840,38720,37740,38690,805500,2016,1,13
37210,38050,37130,37630,1074300,2016,1,12
36700,38580,36180,38140,2502700,2016,1,8
40000,40500,39010,39050,795900,2016,1,7
40320,41070,39850,40170,808800,2016,1,6
40360,41230,40110,40430,817500,2016,1,5
42000,42200,40450,40650,857100,2016,1,4
42300,42700,41950,42640,388000,2015,12,30
42240,42780,41860,42160,500600,2015,12,29
43240,43350,42300,42590,331200,2015,12,28
43000,43540,42850,43140,348500,2015,12,25
43920,43920,43030,43050,459000,2015,12,24
43940,44000,43120,43230,396800,2015,12,22
43650,44240,42860,43750,683300,2015,12,21
45300,47120,44030,44070,1312600,2015,12,18
45490,45790,44890,45180,929900,2015,12,17
44660,44960,44010,44520,651600,2015,12,16
44800,45050,43880,43980,499900,2015,12,15
44540,44790,44310,44520,624100,2015,12,14
45190,46270,45190,45940,1498900,2015,12,11
45650,45850,45300,45440,562700,2015,12,10
47110,47300,46290,46610,447700,2015,12,9
47240,47960,47030,47160,386200,2015,12,8
47470,47860,47340,47520,394400,2015,12,7
47110,47660,46560,46720,700800,2015,12,4
48110,48310,47170,48210,916600,2015,12,3
49600,49640,48910,48980,514800,2015,12,2
49880,50080,49400,49890,616300,2015,12,1
49610,49980,49430,49780,487300,2015,11,30
49390,49840,49250,49640,489800,2015,11,27
48720,49480,48710,49330,498000,2015,11,26
48240,48500,47810,48480,404900,2015,11,25
48150,48320,47980,48230,317200,2015,11,24
48400,48500,47890,48210,420200,2015,11,20
48210,48870,47730,48350,713500,2015,11,19
48000,48400,47450,47480,585200,2015,11,18
47330,47650,46950,47400,645100,2015,11,17
46460,46770,46300,46440,474700,2015,11,16
47700,47820,46900,47490,726600,2015,11,13
47350,47890,47290,47880,376100,2015,11,12
47560,48200,47300,47420,542700,2015,11,11
46550,47650,46420,47600,574400,2015,11,10
46390,46880,46250,46720,737700,2015,11,9
44920,45430,44720,45400,499900,2015,11,6
44600,44920,44160,44770,482000,2015,11,5
43920,44870,43690,44350,688800,2015,11,4
43760,44470,43150,43220,442500,2015,11,2
43400,44560,42930,44380,734900,2015,10,30
44470,44480,42960,43420,524600,2015,10,29
44060,44190,43800,44130,357800,2015,10,28
44150,44280,43650,43780,524300,2015,10,27
44480,44500,43910,44000,451100,2015,10,26
43920,44290,43730,43870,880200,2015,10,23
43200,43700,43010,43220,468300,2015,10,22
43050,44080,42990,43810,615500,2015,10,21
43310,43520,42980,43200,312800,2015,10,20
43060,43580,42940,43130,585400,2015,10,19
43330,43680,43080,43400,570300,2015,10,16
42300,43290,41830,42870,748300,2015,10,15
42000,43530,41650,42730,1391000,2015,10,14
43600,43600,41970,42260,1425600,2015,10,13
44440,44910,43710,43900,2522700,2015,10,9
49380,49480,48350,48640,552800,2015,10,8
49750,50190,48910,49800,667900,2015,10,7
50390,50700,49580,50590,606400,2015,10,6
49260,49940,49110,49730,515100,2015,10,5
49120,49830,48600,48730,425900,2015,10,2
48370,49940,48030,49300,808500,2015,10,1
47700,48660,47280,48490,814000,2015,9,30
47140,47370,46690,47150,960200,2015,9,29
46850,47560,46400,47490,644100,2015,9,28
45410,46800,45410,46800,769700,2015,9,25
45000,46260,44660,45300,536700,2015,9,24
46710,47245,46160,46160,570000,2015,9,18
47075,47460,46665,47405,493800,2015,9,17
47550,47885,45895,46375,660100,2015,9,16
46700,47900,46655,47150,707200,2015,9,15
48060,48250,46020,46365,672500,2015,9,14
46160,47860,46060,47620,2153600,2015,9,11
47625,47995,45960,46925,1201700,2015,9,10
46950,49725,46260,49725,1322600,2015,9,9
47155,47270,45125,45170,608900,2015,9,8
46110,47595,45270,46665,696300,2015,9,7
48150,48345,46120,46465,667100,2015,9,4
49515,49550,47510,47795,699500,2015,9,3
46845,49595,46680,48400,946400,2015,9,2
48990,49145,47480,47480,725400,2015,9,1
50430,50640,48890,49265,700000,2015,8,31
50880,51090,50070,50830,645900,2015,8,28
51000,51380,49620,50290,749100,2015,8,27
47275,50710,46210,50620,1478500,2015,8,26
49900,51450,47660,47975,1550200,2015,8,25
51440,52890,50120,50900,1074700,2015,8,24
53130,53680,52140,52170,675800,2015,8,21
53920,54650,53250,54040,465800,2015,8,20
54130,54740,53740,53860,485500,2015,8,19
55500,55940,54400,54510,420900,2015,8,18
55390,55620,55110,55500,254500,2015,8,17
55090,55450,54470,54990,612900,2015,8,14
54880,55720,54320,55510,738900,2015,8,13
55000,55670,54000,54000,853500,2015,8,12
56540,56760,55020,55550,712200,2015,8,11
56050,57320,55910,56540,563000,2015,8,10
56430,57080,56200,56700,643700,2015,8,7
58880,58900,56920,57220,854100,2015,8,6
59580,59960,58440,58480,910800,2015,8,5
60450,61830,60360,61380,502800,2015,8,4
60820,61280,60440,60740,363300,2015,8,3
61550,61650,60670,61370,498200,2015,7,31
60800,61970,60740,61930,737700,2015,7,30
59880,60460,59480,60230,559600,2015,7,29
58050,59460,57820,59370,565800,2015,7,28
57840,58610,57520,58270,376900,2015,7,27
58900,59080,58210,58250,394400,2015,7,24
58800,60000,58700,59280,486000,2015,7,23
58510,59180,58500,58790,440000,2015,7,22
57800,59280,57580,59270,524100,2015,7,21
56840,57440,56760,57220,429000,2015,7,17
56100,56850,55900,56600,613000,2015,7,16
55840,56070,55240,55670,445300,2015,7,15
55010,55950,54780,55530,655900,2015,7,14
54000,54690,53650,54530,671300,2015,7,13
56000,56020,53740,54010,1901200,2015,7,10
55200,57460,54760,57460,1136200,2015,7,9
56250,56540,54810,55180,906400,2015,7,8
55920,56250,55640,56250,505900,2015,7,7
54570,55640,54320,54810,876900,2015,7,6
56130,56280,54880,55740,989600,2015,7,3
57780,58400,57200,57870,657100,2015,7,2
55850,56660,55700,56610,439300,2015,7,1
54900,55560,54530,55560,489700,2015,6,30
55500,56180,54550,54560,765900,2015,6,29
56490,56870,56130,56240,413600,2015,6,26
55390,57000,55360,55970,556400,2015,6,25
55300,55900,54900,55590,552500,2015,6,24
53960,55080,53780,55080,675700,2015,6,23
52380,53960,52350,53910,598500,2015,6,22
52340,52570,52140,52170,459700,2015,6,19
52590,52590,52080,52200,398500,2015,6,18
52550,52720,52050,52560,374400,2015,6,17
52660,53100,52340,52550,359800,2015,6,16
52320,52770,52290,52740,361900,2015,6,15
53400,53400,52440,52770,1304500,2015,6,12
51390,52980,51370,52980,726900,2015,6,11
50970,51440,50580,51000,493800,2015,6,10
51390,51580,50660,50660,517400,2015,6,9
51330,51750,51250,51720,453900,2015,6,8
50690,51060,50520,50960,356400,2015,6,5
51270,51430,50640,50740,432400,2015,6,4
51250,51270,50830,51030,476000,2015,6,3
51440,51500,51030,51320,356000,2015,6,2
51120,51440,50970,51250,351700,2015,6,1
50700,51640,50550,51300,588000,2015,5,29
51270,51490,50630,50970,524300,2015,5,28
50510,50980,50460,50930,424300,2015,5,27
50750,50950,50520,50880,474200,2015,5,26
50150,50810,50150,50670,359400,2015,5,25
50010,50400,49635,50300,395300,2015,5,22
50110,50460,49995,50100,317500,2015,5,21
50280,50630,50050,50200,509100,2015,5,20
49490,50230,49250,50010,728500,2015,5,19
48505,49130,48280,49035,297700,2015,5,18
48680,48940,48410,48565,429300,2015,5,15
49055,49150,48220,48275,666700,2015,5,14
48545,49545,48130,49515,638200,2015,5,13
48250,48620,47930,48335,556400,2015,5,12
47820,48450,47660,48450,498500,2015,5,11
47100,47790,47030,47120,822600,2015,5,8
47295,47500,47015,47105,608200,2015,5,7
